('Loft in Mission District', '1944564', '', 'regular', 'Brian', 'Entire Room', 0.0)
('Home in Mission District', '49043049', '', 'regular', 'Cherry', 'Entire Room', 0.0)
('Guest suite in Mission District', '1550913', '', 'regular', 'Seth And\xa0Alexa', 'Entire Room', 0.0)
('Guest suite in Mission District', '50010586', 'str-0004717', 'regular', 'Laurel', 'Entire Room', 4.99)
('Private room in Mission District', '11225011', 'str-0001085', 'regular', 'Michelle', 'Entire Room', 4.89)
('Guesthouse in San Francisco', '49591060', '', 'regular', 'Ingrid', 'Entire Room', 0.0)
('Home in Mission District', '11442567', '', 'regular', 'Bernat', 'Entire Room', 0.0)
('Guesthouse in Castro', '47705504', '', 'regular', 'Sophia &\xa0Tyler', 'Entire Room', 0.0)
('Guest suite in San Francisco', '6092596', '', 'regular', 'Marc', 'Entire Room', 0.0)
('Apartment in Noe Valley', '824047084487341932', '', 'regular', 'Eileen', 'Entire Room', 0.0)
('Guest suite in Mission District', '4614763', '', 'regular', 'Del', 'Entire Room', 0.0)
('Apartment in Mission District', '6107359', '', 'regular', 'Pete', 'Entire Room', 0.0)
('Guest suite in Mission District', '755957132088408739', '', 'regular', 'HostWell', 'Entire Room', 0.0)
('Guest suite in Mission District', '467507', '', 'regular', 'Jennifer', 'Entire Room', 0.0)
('Private room in Mission District', '16204265', '', 'regular', 'Koncha', 'Private Room', 0.0)
('Private room in Mission District', '31057117', '', 'regular', 'John', 'Private Room', 0.0)
('Private room in Mission District', '23672181', '', 'regular', 'Andrea', 'Private Room', 0.0)
('Private room in Mission District', '28803800', '', 'regular', 'Pete', 'Private Room', 0.0)
